Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Factorial Calculator - Calculating,Chrome 89.0.4389.90,Main functionality: Calculate factorial for the given input,,2021-03-26 15:41:30,2021-03-26 15:43:33,2m - 3.864s,PASSED
,,,,,,,
Test Cases/Factorial Calculator - general cases,Chrome 89.0.4389.90,,,2021-03-26 15:41:32,2021-03-26 15:41:42,10.491s,PASSED
"openBrowser("""")",Chrome 89.0.4389.90,,,2021-03-26 15:41:33,2021-03-26 15:41:36,3.106s,PASSED
"navigateToUrl(""http://qainterview.pythonanywhere.com/"")",Chrome 89.0.4389.90,,,2021-03-26 15:41:36,2021-03-26 15:41:39,3.835s,PASSED
"setText(findTestObject(""Object Repository/Factorial Calculator/input_The greatest factorial calculator_number""), data)",Chrome 89.0.4389.90,,,2021-03-26 15:41:39,2021-03-26 15:41:41,1.057s,PASSED
"click(findTestObject(""Object Repository/Factorial Calculator/button_Calculate""))",Chrome 89.0.4389.90,,,2021-03-26 15:41:41,2021-03-26 15:41:41,0.592s,PASSED
"verifyElementPresent(findTestObject(""Factorial Calculator/div_The factorial of 3 is 6""), 0)",Chrome 89.0.4389.90,,,2021-03-26 15:41:41,2021-03-26 15:41:42,1.164s,PASSED
,,,,,,,
Test Cases/Factorial Calculator - general cases,Chrome 89.0.4389.90,,,2021-03-26 15:41:42,2021-03-26 15:41:51,8.773s,PASSED
"openBrowser("""")",Chrome 89.0.4389.90,,,2021-03-26 15:41:42,2021-03-26 15:41:45,2.336s,PASSED
"navigateToUrl(""http://qainterview.pythonanywhere.com/"")",Chrome 89.0.4389.90,,,2021-03-26 15:41:45,2021-03-26 15:41:49,3.987s,PASSED
"setText(findTestObject(""Object Repository/Factorial Calculator/input_The greatest factorial calculator_number""), data)",Chrome 89.0.4389.90,,,2021-03-26 15:41:49,2021-03-26 15:41:49,0.806s,PASSED
"click(findTestObject(""Object Repository/Factorial Calculator/button_Calculate""))",Chrome 89.0.4389.90,,,2021-03-26 15:41:49,2021-03-26 15:41:50,0.502s,PASSED
"verifyElementPresent(findTestObject(""Factorial Calculator/div_The factorial of 3 is 6""), 0)",Chrome 89.0.4389.90,,,2021-03-26 15:41:50,2021-03-26 15:41:51,1.108s,PASSED
,,,,,,,
Test Cases/Factorial Calculator - general cases,Chrome 89.0.4389.90,,,2021-03-26 15:41:51,2021-03-26 15:42:00,8.858s,PASSED
"openBrowser("""")",Chrome 89.0.4389.90,,,2021-03-26 15:41:51,2021-03-26 15:41:54,2.732s,PASSED
"navigateToUrl(""http://qainterview.pythonanywhere.com/"")",Chrome 89.0.4389.90,,,2021-03-26 15:41:54,2021-03-26 15:41:58,3.627s,PASSED
"setText(findTestObject(""Object Repository/Factorial Calculator/input_The greatest factorial calculator_number""), data)",Chrome 89.0.4389.90,,,2021-03-26 15:41:58,2021-03-26 15:41:58,0.864s,PASSED
"click(findTestObject(""Object Repository/Factorial Calculator/button_Calculate""))",Chrome 89.0.4389.90,,,2021-03-26 15:41:58,2021-03-26 15:41:59,0.419s,PASSED
"verifyElementPresent(findTestObject(""Factorial Calculator/div_The factorial of 3 is 6""), 0)",Chrome 89.0.4389.90,,,2021-03-26 15:41:59,2021-03-26 15:42:00,1.176s,PASSED
,,,,,,,
Test Cases/Factorial Calculator - general cases,Chrome 89.0.4389.90,,,2021-03-26 15:42:00,2021-03-26 15:42:10,10.424s,PASSED
"openBrowser("""")",Chrome 89.0.4389.90,,,2021-03-26 15:42:00,2021-03-26 15:42:02,2.341s,PASSED
"navigateToUrl(""http://qainterview.pythonanywhere.com/"")",Chrome 89.0.4389.90,,,2021-03-26 15:42:02,2021-03-26 15:42:08,5.765s,PASSED
"setText(findTestObject(""Object Repository/Factorial Calculator/input_The greatest factorial calculator_number""), data)",Chrome 89.0.4389.90,,,2021-03-26 15:42:08,2021-03-26 15:42:09,0.735s,PASSED
"click(findTestObject(""Object Repository/Factorial Calculator/button_Calculate""))",Chrome 89.0.4389.90,,,2021-03-26 15:42:09,2021-03-26 15:42:09,0.474s,PASSED
"verifyElementPresent(findTestObject(""Factorial Calculator/div_The factorial of 3 is 6""), 0)",Chrome 89.0.4389.90,,,2021-03-26 15:42:09,2021-03-26 15:42:10,1.092s,PASSED
,,,,,,,
Test Cases/Factorial Calculator - general cases,Chrome 89.0.4389.90,,,2021-03-26 15:42:11,2021-03-26 15:42:20,9.360s,PASSED
"openBrowser("""")",Chrome 89.0.4389.90,,,2021-03-26 15:42:11,2021-03-26 15:42:13,2.399s,PASSED
"navigateToUrl(""http://qainterview.pythonanywhere.com/"")",Chrome 89.0.4389.90,,,2021-03-26 15:42:13,2021-03-26 15:42:17,4.470s,PASSED
"setText(findTestObject(""Object Repository/Factorial Calculator/input_The greatest factorial calculator_number""), data)",Chrome 89.0.4389.90,,,2021-03-26 15:42:17,2021-03-26 15:42:18,0.903s,PASSED
